TREE_NAMES	Clade	MAG	Total_abundance
REFM_CHLORO_00001	Leptophytes	mag	506.9461723
REFM_CHLORO_00002	Haptophytes	mag	4.981123849
TARA_CHLORO_00001	Haptophytes	mag	58.72845435
TARA_CHLORO_00002	Chlorophytes	mag	149.289702
TARA_CHLORO_00003	Haptophytes	mag	35.72972171
TARA_CHLORO_00004	Haptophytes	mag	14.98998406
TARA_CHLORO_00005	Haptophytes	mag	45.92169574
TARA_CHLORO_00006	Haptophytes	mag	24.0939121
TARA_CHLORO_00008	Dinophytes	mag	53.65335669
TARA_CHLORO_00010	Haptophytes	mag	80.97621615
TARA_CHLORO_00011	Haptophytes	mag	37.93785407
TARA_CHLORO_00012	Haptophytes	mag	75.24725777
TARA_CHLORO_00013	Haptophytes	mag	104.5755173
TARA_CHLORO_00014	Dinophytes	mag	23.79941481
TARA_CHLORO_00015	Chlorophytes	mag	26.63489014
TARA_CHLORO_00016	Haptophytes	mag	73.32485154
TARA_CHLORO_00017	Haptophytes	mag	29.35385631
TARA_CHLORO_00018	Cryptophytes	mag	44.80041667
TARA_CHLORO_00019	Haptophytes	mag	87.6311562
TARA_CHLORO_00020	Haptophytes	mag	178.6597385
TARA_CHLORO_00021	Haptophytes	mag	17.07328491
TARA_CHLORO_00022	Ochrophytes	mag	83.83823587
TARA_CHLORO_00023	Haptophytes	mag	112.5698573
TARA_CHLORO_00024	Cryptophytes	mag	222.3363393
TARA_CHLORO_00025	Ochrophytes	mag	28.98956263
TARA_CHLORO_00026	Haptophytes	mag	53.83037479
TARA_CHLORO_00027	Haptophytes	mag	190.7420184
TARA_CHLORO_00028	Haptophytes	mag	255.097586
TARA_CHLORO_00029	Cryptophytes	mag	46.82813923
TARA_CHLORO_00030	Haptophytes	mag	201.6653249
TARA_CHLORO_00031	Haptophytes	mag	264.9904231
TARA_CHLORO_00032	Haptophytes	mag	40.96400119
TARA_CHLORO_00033	Haptophytes	mag	108.8403232
TARA_CHLORO_00034	Haptophytes	mag	170.2680099
TARA_CHLORO_00035	Haptophytes	mag	214.1957718
TARA_CHLORO_00036	Dinophytes	mag	55.3983807
TARA_CHLORO_00037	Cryptophytes	mag	29.21397805
TARA_CHLORO_00038	Haptophytes	mag	100.841085
TARA_CHLORO_00039	Haptophytes	mag	45.93446107
TARA_CHLORO_00040	Haptophytes	mag	343.5084765
TARA_CHLORO_00041	Haptophytes	mag	115.3718489
TARA_CHLORO_00042	Haptophytes	mag	45.33958365
TARA_CHLORO_00044	Haptophytes	mag	158.5067524
TARA_CHLORO_00045	Haptophytes	mag	123.7202928
TARA_CHLORO_00046	Haptophytes	mag	136.4898495
TARA_CHLORO_00047	Haptophytes	mag	42.90265607
TARA_CHLORO_00048	Haptophytes	mag	167.2794679
TARA_CHLORO_00049	Haptophytes	mag	36.90285782
