gene	gene_name
acsF	acsF
acsF	ycf59
atpA	atpA
atpB	atpB
atpH	atpH
atpI	atpI
ccs1	ccs1
ccs1	ycf44
ccsA	ccsA
clpC	clpC
petA	petA
petB	petB
petD	petD
petG	petG
petN	petN
petN	ycf6
psaA	psaA
psaB	psaB
psaC	psaC
psaD	psaD
psbA	psbA
psbB	psbB
psbC	psbC
psbD	psbD
psbE	psbE
psbF	psbF
psbH	psbH
psbI	psbI
psbJ	psbJ
psbK	psbK
psbN	psbN
psbT	psbT
psbV	psbV
rpl2	rpl2
rpl3	rpl3
rpl4	rpl4
rpl5	rpl5
rpl6	rpl6
rpl11	rpl11
rpl14	rpl14
rpl16	rpl16
rpl19	rpl19
rpl20	rpl20
rpl23	rpl23
rpl27	rpl27
rpl31	rpl31
rpoA	rpoA
rpoB	rpoB
rpoC1	rpoC1
rpoC2	rpoC2
rps2	rps2
rps3	rps3
rps4	rps4
rps5	rps5
rps7	rps7
rps8	rps8
rps11	rps11
rps12	rps12
rps13	rps13
rps14	rps14
rps16	rps16
rps17	rps17
rps18	rps18
rps19	rps19
secA	secA
secY	secY
sufB	sufB
tatC	tatC
tufA	tufA
ycf3	ycf3
ycf4	ycf4
