ID	Region	Filter_Code	Filter_Size	Depth	Station	Size_Categorie	Filter_ID	Mean_coverage
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	158	Size_01	158DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	158	Size_01	158DCM0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	MES	158	Size_01	158MES0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	MES	158	Size_01	158MES0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	158	Size_01	158SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	158	Size_01	158SUR0CCKK11	0.765093136
REFM_CHLORO_00001	Arctic	AACC	0-0.2	MES	163	Size_01	163MES0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	MES	163	Size_01	163MES0CCKK11	0.488028176
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	163	Size_01	163SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	163	Size_01	163SUR0CCKK11	0.517518689
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	168	Size_01	168DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	168	Size_01	168DCM0CCKK11	8.233505753
REFM_CHLORO_00001	Arctic	AACC	0-0.2	IZZ	168	Size_01	168IZZ0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	IZZ	168	Size_01	168IZZ0CCKK11	1.172375076
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	168	Size_01	168SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	168	Size_01	168SUR0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	173	Size_01	173DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	173	Size_01	173DCM0CCKK11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	IZZ	173	Size_01	173IZZ0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	173	Size_01	173SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	173	Size_01	173SUR0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	IZZ	175	Size_01	175IZZ0AACC11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	175	Size_01	175SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	175	Size_01	175SUR0CCKK11	0.381572508
REFM_CHLORO_00001	Arctic	AACC	0-0.2	ZZZ	175	Size_01	175ZZZ0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	ZZZ	175	Size_01	175ZZZ0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	178	Size_01	178SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	178	Size_01	178SUR0CCKK11	0.762204543
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	180	Size_01	180SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	180	Size_01	180SUR0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	ZZZ	180	Size_01	180ZZZ0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	ZZZ	180	Size_01	180ZZZ0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	188	Size_01	188DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	188	Size_01	188DCM0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	188	Size_01	188SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	188	Size_01	188SUR0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	189	Size_01	189DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	189	Size_01	189DCM0CCKK11	3.515474602
REFM_CHLORO_00001	Arctic	AACC	0-0.2	MES	189	Size_01	189MES0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	MES	189	Size_01	189MES0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	189	Size_01	189SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	189	Size_01	189SUR0CCKK11	3.435102636
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	191	Size_01	191SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	191	Size_01	191SUR0CCKK11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	193	Size_01	193SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	193	Size_01	193SUR0CCKK11	28.62030844
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	193	Size_01	193SUR1AACC11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	194	Size_01	194DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	194	Size_01	194DCM0CCKK11	6.95911826
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	194	Size_01	194SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	194	Size_01	194SUR0CCKK11	70.55268082
REFM_CHLORO_00001	Arctic	AACC	0-0.2	SUR	196	Size_01	196SUR0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	SUR	196	Size_01	196SUR0CCKK11	2.864216961
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	201	Size_01	201DCM0AACC11	0
REFM_CHLORO_00001	Arctic	CCKK	0.22-3	DCM	201	Size_01	201DCM0CCKK11	1.121522413
REFM_CHLORO_00001	Arctic	AACC	0-0.2	DCM	201	Size_01	201DCM1AACC11	0
REFM_CHLORO_00001	Arctic	AACC	0-0.2	MES	201	Size_01	201MES0AACC11	0
