ID	Taxonomy	Gene_count
mag=CHL-AON-Bin-133-1-c-taxonomy=Red-Haptophyta	Red-Haptophyta	42
mag=CHL-AON-Bin-135-1-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	45
mag=CHL-AON-Bin-135-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	28
mag=CHL-AON-Bin-136-10-c-taxonomy=Red-Haptophyta	Red-Haptophyta	35
mag=CHL-AON-Bin-136-2-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	36
mag=CHL-AON-Bin-136-3-c-taxonomy=Red-Haptophyta	Red-Haptophyta	55
mag=CHL-AON-Bin-136-5-c-taxonomy=Green-Dinophyceae	Green-Dinophyceae	30
mag=CHL-AON-Bin-136-7-c-taxonomy=Red-Haptophyta	Red-Haptophyta	29
mag=CHL-AON-Bin-136-8-c-taxonomy=Red-Haptophyta	Red-Haptophyta	41
mag=CHL-AON-Bin-175-10-c-taxonomy=Red-Haptophyta	Red-Haptophyta	43
mag=CHL-AON-Bin-175-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	75
mag=CHL-AON-Bin-175-3-c-taxonomy=Green-Dinophyceae	Green-Dinophyceae	25
mag=CHL-AON-Bin-175-7-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	29
mag=CHL-AON-Bin-184-13-c-taxonomy=Red-Haptophyta	Red-Haptophyta	26
mag=CHL-AON-Bin-184-17-c-taxonomy=Red-Haptophyta	Red-Haptophyta	39
mag=CHL-AON-Bin-184-24-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	23
mag=CHL-AON-Bin-184-26-c-taxonomy=Red-Haptophyta	Red-Haptophyta	38
mag=CHL-AON-Bin-184-28-c-taxonomy=Red-Haptophyta	Red-Haptophyta	38
mag=CHL-AON-Bin-184-31-c-taxonomy=Red-Haptophyta	Red-Haptophyta	44
mag=CHL-AON-Bin-184-32-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	44
mag=CHL-AON-Bin-184-33-c-taxonomy=Red-Haptophyta	Red-Haptophyta	51
mag=CHL-AON-Bin-184-34-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	47
mag=CHL-AON-Bin-184-37-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	52
mag=CHL-AON-Bin-184-42-c-taxonomy=Red-Haptophyta	Red-Haptophyta	51
mag=CHL-AON-Bin-184-43-c-taxonomy=Red-Haptophyta	Red-Haptophyta	53
mag=CHL-AON-Bin-184-45-c-taxonomy=Red-Haptophyta	Red-Haptophyta	55
mag=CHL-AON-Bin-184-51-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	47
mag=CHL-AON-Bin-184-52-c-taxonomy=Red-Haptophyta	Red-Haptophyta	61
mag=CHL-AON-Bin-184-53-c-taxonomy=Red-Haptophyta	Red-Haptophyta	67
mag=CHL-AON-Bin-184-54-c-taxonomy=Red-Haptophyta	Red-Haptophyta	67
mag=CHL-AON-Bin-184-57-c-taxonomy=Red-Haptophyta	Red-Haptophyta	65
mag=CHL-AON-Bin-184-58-c-taxonomy=Red-Haptophyta	Red-Haptophyta	58
mag=CHL-AON-Bin-184-59-c-taxonomy=Red-Haptophyta	Red-Haptophyta	68
mag=CHL-AON-Bin-184-60-c-taxonomy=Green-Dinophyceae	Green-Dinophyceae	16
mag=CHL-AON-Bin-184-61-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	71
mag=CHL-AON-Bin-184-62-c-taxonomy=Red-Haptophyta	Red-Haptophyta	61
mag=CHL-AON-Bin-184-63-c-taxonomy=Red-Haptophyta	Red-Haptophyta	55
mag=CHL-AON-Bin-184-65-c-taxonomy=Red-Haptophyta	Red-Haptophyta	72
mag=CHL-AON-Bin-184-66-c-taxonomy=Red-Haptophyta	Red-Haptophyta	60
mag=CHL-AON-Bin-184-68-c-taxonomy=Red-Haptophyta	Red-Haptophyta	70
mag=CHL-AON-Bin-184-6-c-taxonomy=Red-Haptophyta	Red-Haptophyta	20
mag=CHL-AON-Bin-184-70-c-taxonomy=Red-Haptophyta	Red-Haptophyta	66
mag=CHL-AON-Bin-184-71-c-taxonomy=Red-Haptophyta	Red-Haptophyta	69
mag=CHL-AON-Bin-184-73-c-taxonomy=Red-Haptophyta	Red-Haptophyta	78
mag=CHL-AON-Bin-184-75-c-taxonomy=Red-Haptophyta	Red-Haptophyta	58
mag=CHL-AON-Bin-184-76-c-taxonomy=Red-Haptophyta	Red-Haptophyta	37
mag=CHL-AON-Bin-184-77-c-taxonomy=Red-Haptophyta	Red-Haptophyta	78
mag=CHL-AON-Bin-184-78-c-taxonomy=Red-Haptophyta	Red-Haptophyta	77
mag=CHL-AON-Bin-184-79-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	81
mag=CHL-AON-Bin-184-81-c-taxonomy=Red-Haptophyta	Red-Haptophyta	73
mag=CHL-AON-Bin-184-82-c-taxonomy=Red-Haptophyta	Red-Haptophyta	88
mag=CHL-AON-Bin-184-83-c-taxonomy=Red-Haptophyta	Red-Haptophyta	70
mag=CHL-AON-Bin-184-85-c-taxonomy=Red-Haptophyta	Red-Haptophyta	86
mag=CHL-AON-Bin-184-87-c-taxonomy=Red-Haptophyta	Red-Haptophyta	80
mag=CHL-AON-Bin-184-88-c-taxonomy=Red-Haptophyta	Red-Haptophyta	80
mag=CHL-AON-Bin-184-89-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	82
mag=CHL-AON-Bin-184-90-c-taxonomy=Red-Haptophyta	Red-Haptophyta	87
mag=CHL-AON-Bin-184-91-c-taxonomy=Red-Haptophyta	Red-Haptophyta	75
mag=CHL-AON-Bin-184-92-c-taxonomy=Red-Haptophyta	Red-Haptophyta	43
mag=CHL-AON-Bin-206-3-c-taxonomy=Green-Prasinodermophyta	Green-Prasinodermophyta	43
mag=CHL-AON-Bin-218-11-c-taxonomy=Green-Prasinodermophyta	Green-Prasinodermophyta	56
mag=CHL-AON-Bin-218-12-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	64
mag=CHL-AON-Bin-218-15-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	60
mag=CHL-AON-Bin-218-18-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	67
mag=CHL-AON-Bin-218-19-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	80
mag=CHL-AON-Bin-218-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	92
mag=CHL-AON-Bin-218-20-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	76
mag=CHL-AON-Bin-218-22-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	53
mag=CHL-AON-Bin-218-24-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	28
mag=CHL-AON-Bin-218-25-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	29
mag=CHL-AON-Bin-218-26-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	39
mag=CHL-AON-Bin-218-27-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	57
mag=CHL-AON-Bin-218-29-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	70
mag=CHL-AON-Bin-218-2-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	92
mag=CHL-AON-Bin-218-30-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	65
mag=CHL-AON-Bin-218-32-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	57
mag=CHL-AON-Bin-218-34-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	86
mag=CHL-AON-Bin-218-35-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	78
mag=CHL-AON-Bin-218-36-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	47
mag=CHL-AON-Bin-218-37-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	37
mag=CHL-AON-Bin-218-38-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	66
mag=CHL-AON-Bin-218-41-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	82
mag=CHL-AON-Bin-218-42-c-taxonomy=Red-Haptophyta	Red-Haptophyta	80
mag=CHL-AON-Bin-218-43-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	76
mag=CHL-AON-Bin-218-44-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	84
mag=CHL-AON-Bin-218-46-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	56
mag=CHL-AON-Bin-218-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	84
mag=CHL-AON-Bin-218-6-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	59
mag=CHL-AON-Bin-218-7-c-taxonomy=Red-Haptophyta	Red-Haptophyta	77
mag=CHL-AON-Bin-218-8-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	77
mag=CHL-AON-Bin-220-12-c-taxonomy=Red-Haptophyta	Red-Haptophyta	59
mag=CHL-AON-Bin-220-13-c-taxonomy=Red-Haptophyta	Red-Haptophyta	78
mag=CHL-AON-Bin-220-17-c-taxonomy=Red-Haptophyta	Red-Haptophyta	24
mag=CHL-AON-Bin-220-18-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	75
mag=CHL-AON-Bin-220-19-c-taxonomy=Red-Haptophyta	Red-Haptophyta	77
mag=CHL-AON-Bin-220-24-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	51
mag=CHL-AON-Bin-220-25-c-taxonomy=Red-Haptophyta	Red-Haptophyta	66
mag=CHL-AON-Bin-220-30-c-taxonomy=Green-Euglenales	Green-Euglenales	55
mag=CHL-AON-Bin-220-31-c-taxonomy=Green-Euglenales	Green-Euglenales	53
mag=CHL-AON-Bin-220-32-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	78
mag=CHL-AON-Bin-220-34-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	47
mag=CHL-AON-Bin-220-35-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	80
mag=CHL-AON-Bin-220-36-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	66
mag=CHL-AON-Bin-220-39-c-taxonomy=Red-Haptophyta	Red-Haptophyta	49
mag=CHL-AON-Bin-220-6-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	59
mag=CHL-AON-Bin-220-7-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	89
mag=CHL-AON-Bin-222-1-c-taxonomy=Red-Haptophyta	Red-Haptophyta	45
mag=CHL-AON-Bin-222-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	57
mag=CHL-AON-Bin-222-3-c-taxonomy=Red-Haptophyta	Red-Haptophyta	59
mag=CHL-AON-Bin-238-2-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	31
mag=CHL-AON-Bin-238-9-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	50
mag=CHL-AON-Bin-248-3-c-taxonomy=Red-Haptophyta	Red-Haptophyta	45
mag=CHL-AON-Bin-248-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	34
mag=CHL-AON-Bin-264-5-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	40
mag=CHL-AON-Bin-270-2-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	40
mag=CHL-AON-Bin-293-3-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	37
mag=CHL-AON-Bin-293-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	71
mag=CHL-AON-Bin-293-5-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	82
mag=CHL-AOS-Bin-102-10-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	24
mag=CHL-AOS-Bin-102-11-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	27
mag=CHL-AOS-Bin-102-15-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	66
mag=CHL-AOS-Bin-102-18-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	39
mag=CHL-AOS-Bin-102-19-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	52
mag=CHL-AOS-Bin-102-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	57
mag=CHL-AOS-Bin-102-25-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	47
mag=CHL-AOS-Bin-102-27-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	56
mag=CHL-AOS-Bin-102-28-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	37
mag=CHL-AOS-Bin-102-29-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	55
mag=CHL-AOS-Bin-102-30-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	67
mag=CHL-AOS-Bin-102-32-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	58
mag=CHL-AOS-Bin-102-33-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	72
mag=CHL-AOS-Bin-102-7-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	72
mag=CHL-AOS-Bin-109-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	31
mag=CHL-AOS-Bin-120-3-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	75
mag=CHL-AOS-Bin-125-20-c-taxonomy=Red-Haptophyta	Red-Haptophyta	50
mag=CHL-AOS-Bin-125-27-c-taxonomy=Red-Haptophyta	Red-Haptophyta	51
mag=CHL-AOS-Bin-125-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	61
mag=CHL-AOS-Bin-125-31-c-taxonomy=Red-Haptophyta	Red-Haptophyta	64
mag=CHL-AOS-Bin-125-32-c-taxonomy=Red-Haptophyta	Red-Haptophyta	56
mag=CHL-AOS-Bin-125-33-c-taxonomy=Red-Haptophyta	Red-Haptophyta	35
mag=CHL-AOS-Bin-125-38-c-taxonomy=Red-Haptophyta	Red-Haptophyta	28
mag=CHL-AOS-Bin-125-39-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	75
mag=CHL-AOS-Bin-125-3-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	33
mag=CHL-AOS-Bin-125-40-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	55
mag=CHL-AOS-Bin-125-42-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	78
mag=CHL-AOS-Bin-125-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	52
mag=CHL-AOS-Bin-125-5-c-taxonomy=Red-New*	Red-New*	53
mag=CHL-AOS-Bin-125-7-c-taxonomy=Red-Haptophyta	Red-Haptophyta	79
mag=CHL-AOS-Bin-138-1-c-taxonomy=Red-Haptophyta	Red-Haptophyta	79
mag=CHL-AOS-Bin-138-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	56
mag=CHL-AOS-Bin-139-10-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	34
mag=CHL-AOS-Bin-139-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	57
mag=CHL-AOS-Bin-139-6-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	72
mag=CHL-AOS-Bin-139-8-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	21
mag=CHL-AOS-Bin-143-10-c-taxonomy=Red-Haptophyta	Red-Haptophyta	49
mag=CHL-AOS-Bin-143-1-c-taxonomy=Green-Prasinodermophyta	Green-Prasinodermophyta	57
mag=CHL-AOS-Bin-143-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	68
mag=CHL-AOS-Bin-143-7-c-taxonomy=Red-Haptophyta	Red-Haptophyta	50
