Taxon	Type	Number of genes detected	Completeness percentage
CHL_AON_Bin_136_10_c	mag	18	40.9091
CHL_AON_Bin_218_11_c	mag	25	56.8182
CHL_AOS_Bin_109_4_c	mag	15	34.0909
CHL_AOS_Bin_120_3_c	mag	33	75
CHL_ARC_Bin_238_20_c	mag	43	97.7273
CHL_ARC_Bin_238_31_c	mag	40	90.9091
CHL_ARC_Bin_270_17_c	mag	16	36.3636
CHL_ION_Bin_101_4_c	mag	26	59.0909
CHL_ION_Bin_84_8_c	mag	42	95.4545
CHL_MED_Bin_250_48_c	mag	41	93.1818
CHL_MED_Bin_373_2_c	mag	39	88.6364
CHL_PSW_Bin_163_25_c	mag	22	50
CHL_PSW_Bin_61_3_c	mag	42	95.4545
CHL_PSW_Bin_87_1_c	mag	42	95.4545
TARA_B110000977_METAG-scaffold_147	mag	44	100
ZHAN22-1_SAMN11355745_METAG-scaffold_354	mag	39	88.6364
CHL_AON_Bin_133_1_c	mag	19	43.1818
CHL_AON_Bin_135_1_c	mag	39	88.6364
CHL_AON_Bin_135_4_c	mag	11	25
CHL_AON_Bin_136_2_2_c	mag	15	34.0909
CHL_AON_Bin_136_3_c	mag	23	52.2727
CHL_AON_Bin_136_5_c	mag	25	56.8182
CHL_AON_Bin_136_7_c	mag	11	25
CHL_AON_Bin_136_8_c	mag	14	31.8182
CHL_AON_Bin_175_10_c	mag	24	54.5455
CHL_AON_Bin_175_2_c	mag	34	77.2727
CHL_AON_Bin_175_3_c	mag	21	47.7273
CHL_AON_Bin_175_7_c	mag	26	59.0909
CHL_AON_Bin_184_13_c	mag	12	27.2727
CHL_AON_Bin_184_17_c	mag	17	38.6364
CHL_AON_Bin_184_24_c	mag	9	20.4545
CHL_AON_Bin_184_26_c	mag	18	40.9091
CHL_AON_Bin_184_28_c	mag	13	29.5455
CHL_AON_Bin_184_31_c	mag	22	50
CHL_AON_Bin_184_32_c	mag	25	56.8182
CHL_AON_Bin_184_33_c	mag	18	40.9091
CHL_AON_Bin_184_34_c	mag	21	47.7273
CHL_AON_Bin_184_37_c	mag	25	56.8182
CHL_AON_Bin_184_42_c	mag	22	50
CHL_AON_Bin_184_43_c	mag	25	56.8182
CHL_AON_Bin_184_45_c	mag	22	50
CHL_AON_Bin_184_51_c	mag	19	43.1818
CHL_AON_Bin_184_52_c	mag	27	61.3636
CHL_AON_Bin_184_53_c	mag	37	84.0909
CHL_AON_Bin_184_54_c	mag	32	72.7273
CHL_AON_Bin_184_57_c	mag	28	63.6364
CHL_AON_Bin_184_58_c	mag	24	54.5455
CHL_AON_Bin_184_59_c	mag	30	68.1818
CHL_AON_Bin_184_60_c	mag	12	27.2727
CHL_AON_Bin_184_61_c	mag	32	72.7273
CHL_AON_Bin_184_62_c	mag	27	61.3636
CHL_AON_Bin_184_63_c	mag	25	56.8182
CHL_AON_Bin_184_65_c	mag	35	79.5455
CHL_AON_Bin_184_66_c	mag	25	56.8182
CHL_AON_Bin_184_68_c	mag	36	81.8182
CHL_AON_Bin_184_6_c	mag	8	18.1818
CHL_AON_Bin_184_70_c	mag	33	75
CHL_AON_Bin_184_71_c	mag	34	77.2727
CHL_AON_Bin_184_73_c	mag	41	93.1818
CHL_AON_Bin_184_75_c	mag	28	63.6364
CHL_AON_Bin_184_76_c	mag	17	38.6364
CHL_AON_Bin_184_77_c	mag	35	79.5455
CHL_AON_Bin_184_78_c	mag	37	84.0909
