Taxon	Type	GCcontent
CHL_AON_Bin_136_10_c	mag	31.52
CHL_AON_Bin_218_11_c	mag	30.28
CHL_AOS_Bin_109_4_c	mag	30.54
CHL_AOS_Bin_120_3_c	mag	32.80
CHL_ARC_Bin_238_20_c	mag	42.77
CHL_ARC_Bin_238_31_c	mag	32.77
CHL_ARC_Bin_270_17_c	mag	29.97
CHL_ION_Bin_101_4_c	mag	30.07
CHL_ION_Bin_84_8_c	mag	35.47
CHL_MED_Bin_250_48_c	mag	31.30
CHL_MED_Bin_373_2_c	mag	29.95
CHL_PSW_Bin_163_25_c	mag	33.02
CHL_PSW_Bin_61_3_c	mag	37.45
CHL_PSW_Bin_87_1_c	mag	29.08
TARA_B110000977_METAG-scaffold_147	mag	33.15
ZHAN22-1_SAMN11355745_METAG-scaffold_354	mag	35.87
CHL_AON_Bin_133_1_c	mag	32.55
CHL_AON_Bin_135_1_c	mag	38.02
CHL_AON_Bin_135_4_c	mag	31.78
CHL_AON_Bin_136_2_2_c	mag	33.36
CHL_AON_Bin_136_3_c	mag	33.97
CHL_AON_Bin_136_5_c	mag	34.26
CHL_AON_Bin_136_7_c	mag	34.19
CHL_AON_Bin_136_8_c	mag	32.85
CHL_AON_Bin_175_10_c	mag	33.25
CHL_AON_Bin_175_2_c	mag	33.14
CHL_AON_Bin_175_3_c	mag	41.83
CHL_AON_Bin_175_7_c	mag	45.07
CHL_AON_Bin_184_13_c	mag	33.51
CHL_AON_Bin_184_17_c	mag	33.23
CHL_AON_Bin_184_24_c	mag	31.94
CHL_AON_Bin_184_26_c	mag	33.06
CHL_AON_Bin_184_28_c	mag	31.72
CHL_AON_Bin_184_31_c	mag	33.36
CHL_AON_Bin_184_32_c	mag	30.33
CHL_AON_Bin_184_33_c	mag	32.28
CHL_AON_Bin_184_34_c	mag	34.15
CHL_AON_Bin_184_37_c	mag	33.04
CHL_AON_Bin_184_42_c	mag	33.39
CHL_AON_Bin_184_43_c	mag	32.70
CHL_AON_Bin_184_45_c	mag	32.83
CHL_AON_Bin_184_51_c	mag	32.39
CHL_AON_Bin_184_52_c	mag	33.01
CHL_AON_Bin_184_53_c	mag	34.40
CHL_AON_Bin_184_54_c	mag	34.42
CHL_AON_Bin_184_57_c	mag	33.21
CHL_AON_Bin_184_58_c	mag	33.22
CHL_AON_Bin_184_59_c	mag	33.14
CHL_AON_Bin_184_60_c	mag	35.30
CHL_AON_Bin_184_61_c	mag	33.70
CHL_AON_Bin_184_62_c	mag	32.42
CHL_AON_Bin_184_63_c	mag	33.22
CHL_AON_Bin_184_65_c	mag	34.48
CHL_AON_Bin_184_66_c	mag	34.03
CHL_AON_Bin_184_68_c	mag	33.83
CHL_AON_Bin_184_6_c	mag	33.15
CHL_AON_Bin_184_70_c	mag	33.49
CHL_AON_Bin_184_71_c	mag	32.53
CHL_AON_Bin_184_73_c	mag	33.66
CHL_AON_Bin_184_75_c	mag	32.91
CHL_AON_Bin_184_76_c	mag	33.63
CHL_AON_Bin_184_77_c	mag	32.21
CHL_AON_Bin_184_78_c	mag	34.02
CHL_AON_Bin_184_79_c	mag	32.37
CHL_AON_Bin_184_81_c	mag	34.05
CHL_AON_Bin_184_82_c	mag	34.51
CHL_AON_Bin_184_83_c	mag	32.47
CHL_AON_Bin_184_85_c	mag	34.11
CHL_AON_Bin_184_87_c	mag	34.84
CHL_AON_Bin_184_88_c	mag	35.01
CHL_AON_Bin_184_89_c	mag	32.63
CHL_AON_Bin_184_90_c	mag	31.83
CHL_AON_Bin_184_91_c	mag	32.88
CHL_AON_Bin_184_92_c	mag	33.89
CHL_AON_Bin_206_3_c	mag	34.48
CHL_AON_Bin_218_12_c	mag	31.48
CHL_AON_Bin_218_15_c	mag	31.09
CHL_AON_Bin_218_18_c	mag	27.05
CHL_AON_Bin_218_19_c	mag	30.45
CHL_AON_Bin_218_1_c	mag	28.87
CHL_AON_Bin_218_20_c	mag	30.84
CHL_AON_Bin_218_22_c	mag	28.92
CHL_AON_Bin_218_24_c	mag	24.87
CHL_AON_Bin_218_25_c	mag	28.29
CHL_AON_Bin_218_26_c	mag	29.08
CHL_AON_Bin_218_27_c	mag	28.76
CHL_AON_Bin_218_29_c	mag	32.35
CHL_AON_Bin_218_2_c	mag	32.38
CHL_AON_Bin_218_30_c	mag	29.71
CHL_AON_Bin_218_32_c	mag	28.63
CHL_AON_Bin_218_34_c	mag	29.06
CHL_AON_Bin_218_35_c	mag	28.75
CHL_AON_Bin_218_36_c	mag	30.03
CHL_AON_Bin_218_37_c	mag	27.96
CHL_AON_Bin_218_38_c	mag	29.52
CHL_AON_Bin_218_41_c	mag	28.67
