Gene	No_of_taxa	Perc_of_taxa
atpA	102	95.33%
atpB	107	100.00%
atpD	95	88.79%
atpE	103	96.26%
atpF	101	94.39%
atpG	96	89.72%
atpH	106	99.07%
atpI	102	95.33%
cbbX	93	86.92%
ccs1	92	85.98%
ccsA	98	91.59%
chlI	99	92.52%
clpC	94	87.85%
dnaK	103	96.26%
groEL	99	92.52%
petA	104	97.20%
petB	102	95.33%
petD	100	93.46%
petG	100	93.46%
petL	89	83.18%
petM	90	84.11%
petN	98	91.59%
psaA	104	97.20%
psaB	104	97.20%
psaC	99	92.52%
psaD	93	86.92%
psaF	96	89.72%
psaI	89	83.18%
psaJ	98	91.59%
psaL	93	86.92%
psaM	79	73.83%
psbA	84	78.50%
psbB	102	95.33%
psbC	100	93.46%
psbD	100	93.46%
psbE	102	95.33%
psbF	102	95.33%
psbI	101	94.39%
psbJ	104	97.20%
psbK	103	96.26%
psbL	101	94.39%
psbN	99	92.52%
psbT	102	95.33%
psbV	98	91.59%
psbX	93	86.92%
psbY	91	85.05%
rbcS	86	80.37%
rpl11	82	76.64%
rpl12	78	72.90%
rpl14	107	100.00%
rpl16	107	100.00%
rpl19	99	92.52%
rpl1	81	75.70%
rpl20	95	88.79%
rpl21	88	82.24%
rpl23	105	98.13%
rpl27	83	77.57%
rpl2	106	99.07%
rpl31	99	92.52%
rpl33	96	89.72%
rpl34	87	81.31%
rpl3	102	95.33%
rpl4	71	66.36%
rpl5	107	100.00%
rpl6	102	95.33%
rpoA	106	99.07%
rpoB	106	99.07%
rpoC1	107	100.00%
rpoC2	105	98.13%
rps10	99	92.52%
rps11	107	100.00%
rps12	107	100.00%
rps13	103	96.26%
rps14	103	96.26%
rps16	103	96.26%
rps17	103	96.26%
rps18	104	97.20%
rps19	105	98.13%
rps20	78	72.90%
rps2	107	100.00%
rps3	107	100.00%
rps4	102	95.33%
rps5	102	95.33%
rps7	107	100.00%
rps8	105	98.13%
rps9	105	98.13%
secA	92	85.98%
secY	103	96.26%
sufB	100	93.46%
tatC	94	87.85%
tufA	106	99.07%
ycf3	106	99.07%
ycf4	102	95.33%
