Taxon	Type	Number of genes
CHL_AON_Bin_136_10_c	mag	58
CHL_AON_Bin_218_11_c	mag	97
CHL_AOS_Bin_109_4_c	mag	56
CHL_AOS_Bin_120_3_c	mag	122
CHL_ARC_Bin_238_20_c	mag	96
CHL_ARC_Bin_238_31_c	mag	124
CHL_ARC_Bin_270_17_c	mag	61
CHL_ION_Bin_101_4_c	mag	74
CHL_ION_Bin_84_8_c	mag	91
CHL_MED_Bin_250_48_c	mag	100
CHL_MED_Bin_373_2_c	mag	138
CHL_PSW_Bin_163_25_c	mag	88
CHL_PSW_Bin_61_3_c	mag	92
CHL_PSW_Bin_87_1_c	mag	123
TARA_B110000977_METAG-scaffold_147	mag	144
ZHAN22-1_SAMN11355745_METAG-scaffold_354	mag	124
CHL_AON_Bin_133_1_c	mag	58
CHL_AON_Bin_135_1_c	mag	82
CHL_AON_Bin_135_4_c	mag	33
CHL_AON_Bin_136_2_2_c	mag	49
CHL_AON_Bin_136_3_c	mag	82
CHL_AON_Bin_136_5_c	mag	68
CHL_AON_Bin_136_7_c	mag	43
CHL_AON_Bin_136_8_c	mag	53
CHL_AON_Bin_175_10_c	mag	64
CHL_AON_Bin_175_2_c	mag	120
CHL_AON_Bin_175_3_c	mag	40
CHL_AON_Bin_175_7_c	mag	55
CHL_AON_Bin_184_13_c	mag	35
CHL_AON_Bin_184_17_c	mag	59
CHL_AON_Bin_184_24_c	mag	55
CHL_AON_Bin_184_26_c	mag	57
CHL_AON_Bin_184_28_c	mag	58
CHL_AON_Bin_184_31_c	mag	61
CHL_AON_Bin_184_32_c	mag	60
CHL_AON_Bin_184_33_c	mag	72
CHL_AON_Bin_184_34_c	mag	86
CHL_AON_Bin_184_37_c	mag	74
CHL_AON_Bin_184_42_c	mag	75
CHL_AON_Bin_184_43_c	mag	83
CHL_AON_Bin_184_45_c	mag	84
CHL_AON_Bin_184_51_c	mag	85
CHL_AON_Bin_184_52_c	mag	95
CHL_AON_Bin_184_53_c	mag	90
CHL_AON_Bin_184_54_c	mag	111
CHL_AON_Bin_184_57_c	mag	101
CHL_AON_Bin_184_58_c	mag	88
CHL_AON_Bin_184_59_c	mag	101
CHL_AON_Bin_184_60_c	mag	49
CHL_AON_Bin_184_61_c	mag	118
CHL_AON_Bin_184_62_c	mag	96
CHL_AON_Bin_184_63_c	mag	97
CHL_AON_Bin_184_65_c	mag	112
CHL_AON_Bin_184_66_c	mag	90
CHL_AON_Bin_184_68_c	mag	111
CHL_AON_Bin_184_6_c	mag	36
CHL_AON_Bin_184_70_c	mag	102
CHL_AON_Bin_184_71_c	mag	114
CHL_AON_Bin_184_73_c	mag	123
CHL_AON_Bin_184_75_c	mag	104
CHL_AON_Bin_184_76_c	mag	61
CHL_AON_Bin_184_77_c	mag	120
CHL_AON_Bin_184_78_c	mag	123
CHL_AON_Bin_184_79_c	mag	129
CHL_AON_Bin_184_81_c	mag	113
CHL_AON_Bin_184_82_c	mag	137
CHL_AON_Bin_184_83_c	mag	116
CHL_AON_Bin_184_85_c	mag	142
CHL_AON_Bin_184_87_c	mag	137
CHL_AON_Bin_184_88_c	mag	129
CHL_AON_Bin_184_89_c	mag	146
CHL_AON_Bin_184_90_c	mag	141
CHL_AON_Bin_184_91_c	mag	118
CHL_AON_Bin_184_92_c	mag	62
CHL_AON_Bin_206_3_c	mag	76
CHL_AON_Bin_218_12_c	mag	97
CHL_AON_Bin_218_15_c	mag	93
CHL_AON_Bin_218_18_c	mag	108
CHL_AON_Bin_218_19_c	mag	132
CHL_AON_Bin_218_1_c	mag	153
CHL_AON_Bin_218_20_c	mag	124
CHL_AON_Bin_218_22_c	mag	83
CHL_AON_Bin_218_24_c	mag	53
CHL_AON_Bin_218_25_c	mag	43
CHL_AON_Bin_218_26_c	mag	57
CHL_AON_Bin_218_27_c	mag	89
CHL_AON_Bin_218_29_c	mag	108
CHL_AON_Bin_218_2_c	mag	151
CHL_AON_Bin_218_30_c	mag	106
CHL_AON_Bin_218_32_c	mag	87
CHL_AON_Bin_218_34_c	mag	144
CHL_AON_Bin_218_35_c	mag	128
CHL_AON_Bin_218_36_c	mag	74
CHL_AON_Bin_218_37_c	mag	49
CHL_AON_Bin_218_38_c	mag	107
CHL_AON_Bin_218_41_c	mag	133
CHL_AON_Bin_218_42_c	mag	131
CHL_AON_Bin_218_43_c	mag	134
CHL_AON_Bin_218_44_c	mag	136
CHL_AON_Bin_218_46_c	mag	100
CHL_AON_Bin_218_4_c	mag	132
CHL_AON_Bin_218_6_c	mag	111
CHL_AON_Bin_218_7_c	mag	118
CHL_AON_Bin_218_8_c	mag	131
CHL_AON_Bin_220_12_c	mag	86
CHL_AON_Bin_220_13_c	mag	120
CHL_AON_Bin_220_17_c	mag	29
CHL_AON_Bin_220_18_c	mag	119
CHL_AON_Bin_220_19_c	mag	121
CHL_AON_Bin_220_24_c	mag	94
CHL_AON_Bin_220_25_c	mag	94
CHL_AON_Bin_220_30_c	mag	100
CHL_AON_Bin_220_31_c	mag	85
CHL_AON_Bin_220_32_c	mag	133
CHL_AON_Bin_220_34_c	mag	93
CHL_AON_Bin_220_35_c	mag	140
CHL_AON_Bin_220_36_c	mag	97
CHL_AON_Bin_220_39_c	mag	94
CHL_AON_Bin_220_6_c	mag	94
CHL_AON_Bin_220_7_c	mag	149
CHL_AON_Bin_222_1_c	mag	68
CHL_AON_Bin_222_2_c	mag	84
CHL_AON_Bin_222_3_c	mag	94
CHL_AON_Bin_238_2_c	mag	49
CHL_AON_Bin_238_9_c	mag	91
CHL_AON_Bin_248_3_c	mag	77
CHL_AON_Bin_248_4_c	mag	45
CHL_AON_Bin_264_5_c	mag	59
CHL_AON_Bin_270_2_c	mag	64
CHL_AON_Bin_293_3_c	mag	64
CHL_AON_Bin_293_4_c	mag	118
CHL_AON_Bin_293_5_c	mag	134
CHL_AOS_Bin_102_10_c	mag	40
CHL_AOS_Bin_102_11_c	mag	46
CHL_AOS_Bin_102_15_c	mag	106
CHL_AOS_Bin_102_18_c	mag	65
CHL_AOS_Bin_102_19_c	mag	89
CHL_AOS_Bin_102_1_c	mag	95
CHL_AOS_Bin_102_25_c	mag	74
CHL_AOS_Bin_102_27_c	mag	105
CHL_AOS_Bin_102_28_c	mag	60
CHL_AOS_Bin_102_29_c	mag	88
CHL_AOS_Bin_102_30_c	mag	106
CHL_AOS_Bin_102_32_c	mag	93
CHL_AOS_Bin_102_33_c	mag	118
CHL_AOS_Bin_102_7_c	mag	121
CHL_AOS_Bin_125_20_c	mag	69
CHL_AOS_Bin_125_27_c	mag	81
CHL_AOS_Bin_125_2_c	mag	82
CHL_AOS_Bin_125_31_c	mag	91
CHL_AOS_Bin_125_32_c	mag	85
CHL_AOS_Bin_125_33_c	mag	63
CHL_AOS_Bin_125_38_c	mag	36
CHL_AOS_Bin_125_39_c	mag	106
CHL_AOS_Bin_125_3_c	mag	60
CHL_AOS_Bin_125_40_c	mag	86
CHL_AOS_Bin_125_42_c	mag	117
CHL_AOS_Bin_125_4_c	mag	78
CHL_AOS_Bin_125_5_c	mag	76
CHL_AOS_Bin_125_7_c	mag	122
CHL_AOS_Bin_138_1_c	mag	117
CHL_AOS_Bin_138_2_c	mag	87
CHL_AOS_Bin_139_10_c	mag	58
CHL_AOS_Bin_139_1_c	mag	91
CHL_AOS_Bin_139_6_c	mag	109
CHL_AOS_Bin_139_8_c	mag	25
CHL_AOS_Bin_143_10_c	mag	79
CHL_AOS_Bin_143_1_c	mag	102
CHL_AOS_Bin_143_4_c	mag	96
CHL_AOS_Bin_143_7_c	mag	72
CHL_AOS_Bin_162_10_c	mag	121
CHL_AOS_Bin_162_11_c	mag	61
CHL_AOS_Bin_162_13_c	mag	128
CHL_AOS_Bin_162_16_c	mag	119
CHL_AOS_Bin_162_17_c	mag	44
CHL_AOS_Bin_162_18_c	mag	126
CHL_AOS_Bin_162_1_c	mag	84
CHL_AOS_Bin_162_21_c	mag	114
CHL_AOS_Bin_162_23_c	mag	149
CHL_AOS_Bin_162_24_c	mag	137
CHL_AOS_Bin_162_26_c	mag	135
CHL_AOS_Bin_162_27_c	mag	90
CHL_AOS_Bin_162_5_c	mag	113
CHL_AOS_Bin_162_6_c	mag	91
CHL_AOS_Bin_166_1_c	mag	122
CHL_AOS_Bin_166_4_c	mag	58
CHL_AOS_Bin_166_7_c	mag	168
CHL_AOS_Bin_173_3_c	mag	150
CHL_AOS_Bin_173_4_c	mag	133
CHL_AOS_Bin_179_11_c	mag	88
CHL_AOS_Bin_179_12_c	mag	133
CHL_AOS_Bin_179_13_c	mag	153
CHL_AOS_Bin_179_14_c	mag	93
CHL_AOS_Bin_179_15_c	mag	142
CHL_AOS_Bin_179_16_c	mag	149
CHL_AOS_Bin_179_19_c	mag	57
CHL_AOS_Bin_179_1_c	mag	160
CHL_AOS_Bin_179_22_c	mag	103
CHL_AOS_Bin_179_23_c	mag	144
CHL_AOS_Bin_179_24_c	mag	79
CHL_AOS_Bin_179_25_c	mag	75
CHL_AOS_Bin_179_27_c	mag	61
CHL_AOS_Bin_179_28_c	mag	89
CHL_AOS_Bin_179_32_c	mag	64
CHL_AOS_Bin_179_3_c	mag	83
CHL_AOS_Bin_179_4_c	mag	107
CHL_AOS_Bin_179_6_c	mag	120
CHL_AOS_Bin_179_7_c	mag	46
CHL_AOS_Bin_83_4_c	mag	56
