NAME	Freq(A)	Freq(V)	Freq(L)	Freq(I)	Freq(P)	Freq(M)	Freq(F)	Freq(W)	Freq(G)	Freq(S)	Freq(T)	Freq(C)	Freq(N)	Freq(Q)	Freq(Y)	Freq(D)	Freq(E)	Freq(K)	Freq(R)	Freq(H)
taxo=Eukaryota-Cryptophyceae-Cryptomonadales-Cryptomonas-curvata-accession=NC-035720	0.073410463806696	0.0715163305006655	0.104638066960172	0.0824715880004095	0.0408518480597932	0.0192484898126344	0.0434114876625371	0.0131053547660489	0.0808846114467083	0.0644005324050374	0.0578990478140678	0.0069622197194635	0.0410054264359578	0.037114774239787	0.0315347599058053	0.0408518480597932	0.0583085901505068	0.0601003378724276	0.0547250947066653	0.0175591276748234
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Bacillariophyta-Coscinodiscophyceae-Coscinodiscus-wailesii-accession=MW561224	0.0679290652239255	0.0617673579801623	0.108355876164713	0.0939785592625989	0.0396252880472899	0.0188858831780383	0.0473399458972047	0.0131249373810239	0.0743913435527502	0.0607654543632902	0.0586614567678589	0.00816551447750726	0.0494940386734796	0.0373710049093277	0.0335136759843703	0.038974050696323	0.0551046989279631	0.0653742110009017	0.0504959422903517	0.0166816952209197
mag=CHL-PON-Bin-100-11-c-taxonomy=Red-Haptophyta	0.0754523143656184	0.0718566291878317	0.106443696136065	0.0812168255236573	0.0397237600593573	0.0183779464642429	0.0461160892643114	0.012613435306204	0.0794475201187147	0.0618115404371897	0.0590719707779236	0.00781918840248844	0.0414930654643	0.0384681239655271	0.0309343074025455	0.0421208835112151	0.0577021859482906	0.0597568631927401	0.0525654928371668	0.0170081616346099
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Phaeophyceae-Dictyopteris-divaricata-accession=NC-036804	0.0640386413212839	0.0615975901111457	0.109795367196427	0.09281188324504	0.0397839409992729	0.0181780409265607	0.0535473148436688	0.0127246286485925	0.0729718500051937	0.0642463903604446	0.0577022956268827	0.00794640074789654	0.0476784044873792	0.0351095876181573	0.0324607873688584	0.0378103251272463	0.056299989612548	0.0687129947023995	0.0490807105017139	0.0175028565492885
mag=CHL-PON-Bin-171-25-c-taxonomy=Red-Ochrophyta	0.0652708741276297	0.0615052467741126	0.106140483004469	0.0959481849676156	0.0394637746648592	0.0183762614851634	0.0480494050308781	0.0132047999196666	0.0740573379525029	0.0627604558919516	0.0567354521263242	0.00908771401315459	0.050810865090124	0.0349952302053522	0.0330371039815233	0.039714816488427	0.0559823266556208	0.0687352512928654	0.0489029472310087	0.0172214690967515
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Bacillariophyta-Bacillariophyceae-Cylindrotheca-closterium-accession=KC509522	0.0685081771041085	0.0615775827682489	0.109593139210211	0.0914938173115277	0.0396390107698444	0.0189469485440766	0.0489130434782609	0.0129637016354208	0.0732947746310331	0.0603809333865178	0.0596330275229358	0.00842640606302353	0.0488133226964499	0.0374950139609095	0.0335560430793777	0.0390905464698843	0.0556441962504986	0.0641703230953331	0.0505584363781412	0.0173015556441963
taxo=Eukaryota-Rhodophyta-Florideophyceae-Nemaliophycidae-Balbiania-investiens-accession=NC-042171	0.0738974358974359	0.064974358974359	0.103282051282051	0.0930769230769231	0.040051282051282	0.0212820512820513	0.0435384615384615	0.0130769230769231	0.0788205128205128	0.0622051282051282	0.0561025641025641	0.00753846153846154	0.0417435897435897	0.0393846153846154	0.0313846153846154	0.0407179487179487	0.0558461538461538	0.0607692307692308	0.0526153846153846	0.0196923076923077
taxo=Eukaryota-Glaucocystophyceae-Cyanophora-paradoxa-accession=NC-001675	0.0804768081032673	0.0709653511209931	0.103637823482181	0.0826385028719659	0.0418751158050769	0.0202581681180903	0.0448397257735779	0.0139583719350256	0.0798591810264962	0.056698165647582	0.0547835217095917	0.00790562658266938	0.0416898276820456	0.0411957260206287	0.0292755234389476	0.0389105058365759	0.0586128095855722	0.0576863689704157	0.0564511148168736	0.018281761472423
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Phaeophyceae-Fucus-vesiculosus-accession=NC-016735	0.0629116747056688	0.0620818422281002	0.107515170374981	0.0960531092785644	0.0402468751620767	0.0178932627975727	0.051916394377885	0.0129142679321612	0.0741662776826928	0.0622374358176443	0.0571547118925367	0.0077278149473575	0.050516052071988	0.0343343187594004	0.0334007572221358	0.0380685649084591	0.0546652144598309	0.0700689798246979	0.0485970644676106	0.0175302110886365
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Pelagophyceae-Aureococcus-anophagefferens-accession=NC-012898	0.0754493717247986	0.0715613906575759	0.106496872710881	0.0810841268946864	0.0420916211190624	0.0202851186115963	0.0475009860821547	0.0129599368907421	0.0791119625852257	0.0606299656279935	0.0600664901110047	0.0095227362371105	0.0420916211190624	0.0369076463627655	0.0312165436411788	0.041359102946977	0.0546007775962134	0.0572491125260607	0.0527413083901504	0.0170733081647602
taxo=Eukaryota-Cryptophyceae-Pyrenomonadales-Guillardia-theta-accession=NC-000926	0.0743427483665175	0.0693008180274734	0.104697226938314	0.0843751607758399	0.0403354427123527	0.0194474455934558	0.0435766836445954	0.0132222050727993	0.0784586098677779	0.0585481298554304	0.057776405823944	0.0077172403148634	0.0454802695889283	0.0374028913927046	0.0328239954725523	0.042599166538046	0.0576735092864125	0.0614806811750785	0.053146061635026	0.0175953079178886
mag=CHL-AOS-Bin-166-7-c-taxonomy=Red-Cryptophyceae	0.0777083333333333	0.0759895833333333	0.101302083333333	0.0771875	0.04125	0.0209895833333333	0.0426041666666667	0.0127604166666667	0.08015625	0.063125	0.0557291666666667	0.0071875	0.0396875	0.03640625	0.03046875	0.0434375	0.0601041666666667	0.0615104166666667	0.0548958333333333	0.0175
mag=CHL-ARC-Bin-77-3-c-taxonomy=Red-Cryptophyceae	0.07662224797219	0.0748841251448436	0.104359791425261	0.0811123986095017	0.0426564310544612	0.0198435689455388	0.0430909617612978	0.0120220162224797	0.0800260718424102	0.0609067207415991	0.0582995365005794	0.00601100811123986	0.0386008111239861	0.0375869061413673	0.0297653534183082	0.0438876013904983	0.0582995365005794	0.0625724217844728	0.0542439165701043	0.0152085747392816
mag=CHL-PON-Bin-100-37-c-taxonomy=Red-Haptophyta	0.0742315238718116	0.0700348811859603	0.106605624591236	0.0837148463047744	0.039895356442119	0.0189666448659254	0.0464900806627425	0.013025942882058	0.078700675822978	0.0611510791366906	0.0596795291039895	0.00806627425332461	0.0420754305646392	0.0379877915849139	0.0315020710704164	0.0410943972095051	0.0571724438630913	0.0604970568999346	0.052103771528232	0.0170045781556573
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Dictyochophyceae-Rhizochromulina-marina-accession=NC-043890	0.0748277856654572	0.0696745017615817	0.109270652574013	0.0843981700583688	0.0423305463532629	0.0205079665562392	0.0462743860756166	0.0128306252300573	0.0762475679655046	0.0597360256612505	0.0596834411316191	0.00772992585581322	0.0440658358310985	0.0378608613345954	0.0301309354787821	0.0411211021717411	0.0552663406425829	0.0586843350686228	0.0521638533943314	0.0171951411894621
mag=ZHAN22-1-SAMN11355745-METAG-scaffold-354-taxonomy=Red-Haptophyta	0.0756395995550612	0.0771412680756396	0.106952169076752	0.0763070077864294	0.0412680756395996	0.0199666295884316	0.0466629588431591	0.0117908787541713	0.0780311457174638	0.0631813125695217	0.0568965517241379	0.00839822024471635	0.0418798665183537	0.0367074527252503	0.0294215795328142	0.0423804226918799	0.0578976640711902	0.0611790878754171	0.0507786429365962	0.0175194660734149
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Bacillariophyta-Coscinodiscophyceae-Thalassiosira-nordenskioeldii-accession=NC-058877	0.0705693664795509	0.063953488372093	0.108009222133119	0.0872594226142743	0.0400962309542903	0.0194466720128308	0.0482658380112269	0.0130312750601443	0.0748295910184443	0.061397353648757	0.0594927826784282	0.00847032878909383	0.0477646351242983	0.0355854049719326	0.0328287890938252	0.0407979149959904	0.0555332798716921	0.0640036086607859	0.0507718524458701	0.017892943063352
taxo=Eukaryota-Rhodophyta-Florideophyceae-Corallinophycidae-Calliarthron-tuberculosum-accession=NC-021075	0.0695531301482702	0.0617792421746293	0.102862438220758	0.0979200988467875	0.039075370675453	0.0205415980230642	0.0444810543657331	0.0131280889621087	0.0753706754530478	0.062757413509061	0.0539538714991763	0.00705313014827018	0.048754118616145	0.0390238879736409	0.0326400329489292	0.0403624382207578	0.0556528006589786	0.066824546952224	0.0491659802306425	0.0191000823723229
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Synurophyceae-Synura-uvella-accession=NC-040134	0.0616618844059261	0.0605492768050594	0.107747262399719	0.0931076887041049	0.0405223399894595	0.0172746969608245	0.0539321894946419	0.0141125490425719	0.0759501083328454	0.0653510569772208	0.0575042454763717	0.00977923522867014	0.0494232007963928	0.0333782280259999	0.0346079522164315	0.0356620015225157	0.0543420975581191	0.0699771622650348	0.047900685132049	0.017216138666042
taxo=Eukaryota-Cryptophyceae-Pyrenomonadales-Chroomonas-mesostigmatica-accession=KY860574	0.0756220939144653	0.0715855091717337	0.103520515047775	0.0801696387512135	0.0410811915589392	0.0203873077512646	0.0434827040008175	0.0132849624444331	0.0804762148076235	0.0640232997802872	0.0569209544734556	0.0071534413162332	0.0403658474273159	0.0366358387409943	0.0316284298196311	0.0427673598691942	0.0583516427367023	0.0615195953196055	0.0538551939093557	0.0171682591589597
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Bacillariophyta-Coscinodiscophyceae-Roundia-cardiophora-accession=NC-025312	0.0685342671335668	0.0626313156578289	0.108554277138569	0.0901950975487744	0.0406203101550775	0.0182591295647824	0.0483241620810405	0.0131565782891446	0.0744872436218109	0.0625812906453227	0.0581290645322661	0.00840420210105053	0.0487743871935968	0.0358179089544772	0.0332166083041521	0.0396198099049525	0.0554277138569285	0.064632316158079	0.0510255127563782	0.0176088044022011
taxo=Eukaryota-Rhodophyta-Rhodellophyceae-Dixoniellales-Bulboplastis-apyrenoidosa-accession=NC-034787	0.0681756938830504	0.0658043654001617	0.103799514955538	0.0952303961196443	0.0388035569927243	0.0201023982753975	0.0440312584209108	0.0124494745351657	0.0745351657235247	0.0635408245755861	0.0556184316895715	0.00749124225276206	0.0471032066828348	0.0391269199676637	0.0340609000269469	0.039827539746699	0.0543788736189706	0.0680679062247373	0.048558340070062	0.019293990838049
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Bacillariophyta-Bacillariophyceae-Psammodictyon-constrictum-accession=NC-061048	0.0701544593921276	0.0629297458893871	0.108868958644743	0.0890383657199801	0.0397608370702541	0.0193323368211261	0.048729446935725	0.0128550074738416	0.0743398106626806	0.0598903836571998	0.0601395117090184	0.00837070254110613	0.047085201793722	0.0363726955655207	0.0333333333333333	0.0408071748878924	0.056203288490284	0.0652715495764823	0.0497757847533632	0.0167414050822123
mag=CHL-ARC-Bin-205-11-c-taxonomy=Red-Haptophyta	0.0746382330540746	0.0733326079860733	0.109128495267109	0.0798063322815798	0.0404743771080405	0.0183875530410184	0.046023283647046	0.0127842454575128	0.07996953541508	0.0609291698400609	0.058045914481558	0.00810575563050811	0.0400935697965401	0.0368295071265368	0.0308453922315308	0.041018387553041	0.0578283103035578	0.0613099771515613	0.0531498204765532	0.0172995321510173
taxo=Eukaryota-Sar-Stramenopiles-Ochrophyta-Bacillariophyta-Bacillariophyceae-Fragilariopsis-cylindrus-accession=NC-045244	0.0687691633815155	0.0630201489268506	0.106986421375383	0.0890823477879982	0.0405168637757337	0.0185611038107753	0.0470871660096364	0.0128120893561104	0.0744086727989487	0.0626916338151555	0.0597349978098993	0.0086508979413053	0.047634691195795	0.0369031975470872	0.0321944809461235	0.0408453788874288	0.0562855891371003	0.0672908453788874	0.0492225142356548	0.0173017958826106
taxo=Eukaryota-Viridiplantae-Streptophyta-Mesostigmatophyceae-Mesostigma-viride-accession=NC-002186	0.0757105521071545	0.0703201568114995	0.102335837961451	0.0821626919307416	0.0436131983012088	0.0236033975824894	0.0484318850049004	0.0167428944789285	0.0830610911466841	0.0602744201241424	0.0526788631166286	0.00865730153544593	0.041734727213329	0.0373244037896112	0.0318523358379615	0.0393662201894806	0.0516987912446913	0.0524338451486442	0.0562724599803986	0.0217249264946096
mag=CHL-MED-Bin-263-9-c-taxonomy=Red-Ochrophyta	0.0671828867472564	0.0613336304384157	0.109408946576792	0.0917497632443875	0.0397192356971756	0.0185504985794663	0.0460698568324884	0.0110857333853267	0.0703581973149128	0.0620021168737118	0.0605537295972369	0.00863461645590775	0.0493565818060275	0.0383822628265835	0.0328115425324494	0.040109186117765	0.0564313965795777	0.0687983956325553	0.0512506267060331	0.01621079605593
mag=CHL-ARC-Bin-205-7-c-taxonomy=Red-Haptophyta	0.0732836848363477	0.0730959384191752	0.106514800675887	0.0811690343575943	0.0393641654671757	0.0188998059953689	0.0429313473934539	0.00988797797108705	0.0776644345703736	0.0616434069716503	0.0595156142436949	0.00801051379936166	0.0415545403341886	0.0373615370173353	0.0304149195819513	0.0438700794793166	0.0608924213029601	0.0658989924275612	0.0537580574504037	0.014268727705113
taxo=Eukaryota-Haptophyta-Prymnesiophyceae-Phaeocystales-Phaeocystis-globosa-accession=MT471323	0.0767715487408827	0.0722994196880158	0.1058936272161	0.0799659266357877	0.0404088803705478	0.0189000692115211	0.0469041154235213	0.0131501890006921	0.0786881754778257	0.0613852952137571	0.0596283873715594	0.00857158068466166	0.0417931107916733	0.0380663365809509	0.0313049033700687	0.0412074748442741	0.0563807698450727	0.0586700740030879	0.0530266730554225	0.0169834424745781
mag=CHL-AOS-Bin-125-42-c-taxonomy=Red-Ochrophyta	0.0661242264496906	0.0659523263809306	0.106062342424937	0.0967797387118955	0.0401673160669264	0.0191382076552831	0.0493926197570479	0.0130071052028421	0.0766674306669723	0.0613110245244098	0.0558675223470089	0.00859500343800138	0.0522576209030484	0.0359271143708457	0.0344373137749255	0.0381618152647261	0.0544350217740087	0.0611964244785698	0.0479028191611277	0.0166170066468027
taxo=Eukaryota-Rhodophyta-Bangiophyceae-Cyanidiales-Cyanidium-caldarium-accession=NC-001840	0.0664045898852529	0.0637484062898428	0.104069273268168	0.097163195920102	0.0402677433064173	0.0197088822779431	0.0476519337016575	0.0125371865703357	0.0733637909052274	0.0673076923076923	0.0494581385465363	0.00892477688057799	0.0486612834679133	0.0344241393965151	0.0324585635359116	0.0381427964300892	0.0553548661283468	0.0736825329366766	0.0469613259668508	0.0197088822779431
