Taxon	Type	Size
CHL_AON_Bin_136_10_c	mag	46426
CHL_AON_Bin_218_11_c	mag	65369
CHL_AOS_Bin_109_4_c	mag	53482
CHL_AOS_Bin_120_3_c	mag	96581
CHL_ARC_Bin_238_20_c	mag	72184
CHL_ARC_Bin_238_31_c	mag	100472
CHL_ARC_Bin_270_17_c	mag	42475
CHL_ION_Bin_101_4_c	mag	91298
CHL_ION_Bin_84_8_c	mag	92890
CHL_MED_Bin_250_48_c	mag	101086
CHL_MED_Bin_373_2_c	mag	92936
CHL_PSW_Bin_163_25_c	mag	63013
CHL_PSW_Bin_61_3_c	mag	74602
CHL_PSW_Bin_87_1_c	mag	627879
TARA_B110000977_METAG-scaffold_147	mag	104203
ZHAN22-1_SAMN11355745_METAG-scaffold_354	mag	84869
CHL_AON_Bin_133_1_c	mag	48316
CHL_AON_Bin_135_1_c	mag	53020
CHL_AON_Bin_135_4_c	mag	26950
CHL_AON_Bin_136_2_2_c	mag	35477
CHL_AON_Bin_136_3_c	mag	57064
CHL_AON_Bin_136_5_c	mag	101052
CHL_AON_Bin_136_7_c	mag	33384
CHL_AON_Bin_136_8_c	mag	35127
CHL_AON_Bin_175_10_c	mag	48136
CHL_AON_Bin_175_2_c	mag	92310
CHL_AON_Bin_175_3_c	mag	29050
CHL_AON_Bin_175_7_c	mag	81192
CHL_AON_Bin_184_13_c	mag	32501
CHL_AON_Bin_184_17_c	mag	39403
CHL_AON_Bin_184_24_c	mag	45119
CHL_AON_Bin_184_26_c	mag	37848
CHL_AON_Bin_184_28_c	mag	48257
CHL_AON_Bin_184_31_c	mag	49560
CHL_AON_Bin_184_32_c	mag	50926
CHL_AON_Bin_184_33_c	mag	51734
CHL_AON_Bin_184_34_c	mag	52673
CHL_AON_Bin_184_37_c	mag	53845
CHL_AON_Bin_184_42_c	mag	56672
CHL_AON_Bin_184_43_c	mag	56004
CHL_AON_Bin_184_45_c	mag	61515
CHL_AON_Bin_184_51_c	mag	68090
CHL_AON_Bin_184_52_c	mag	72291
CHL_AON_Bin_184_53_c	mag	69960
CHL_AON_Bin_184_54_c	mag	74058
CHL_AON_Bin_184_57_c	mag	73511
CHL_AON_Bin_184_58_c	mag	64770
CHL_AON_Bin_184_59_c	mag	77432
CHL_AON_Bin_184_60_c	mag	54468
CHL_AON_Bin_184_61_c	mag	79167
CHL_AON_Bin_184_62_c	mag	69383
